rank,prev_rank,name,league,off,def,spi
540,539,San Antonio FC,United Soccer League,1.07,2.38,21.61
541,533,Coventry City,English League One,0.7,1.79,21.57
542,537,Niort,French Ligue 2,0.61,1.65,21.37
543,547,Chambly Thelle FC,French Ligue 2,0.69,1.8,21.24
544,544,Salernitana,Italy Serie B,0.7,1.81,21.17
545,542,Mjondalen,Norwegian Tippeligaen,0.84,2.05,21.08
546,543,Östersunds FK,Swedish Allsvenskan,0.8,2.0,20.9
547,546,Highlands Park FC,South African ABSA Premier League,0.56,1.61,20.49
548,548,Jubilo Iwata,Japanese J League,0.61,1.73,20.35
549,549,Sacramento Republic FC,United Soccer League,0.75,1.96,20.27
550,541,Livorno,Italy Serie B,0.66,1.81,20.24
551,551,LA Galaxy II,United Soccer League,0.97,2.34,20.0
552,570,Accrington Stanley,English League One,0.73,1.95,19.87
553,568,Swindon Town,English League Two,0.72,1.94,19.84
554,552,Austin Bold FC,United Soccer League,0.78,2.05,19.79
555,553,Ranheim,Norwegian Tippeligaen,0.87,2.19,19.77
556,554,Fresno FC,United Soccer League,0.86,2.18,19.74
557,555,El Paso Locomotive FC,United Soccer League,0.6,1.76,19.57
558,565,Lincoln City,English League One,0.61,1.77,19.53
559,556,Helsingborgs IF,Swedish Allsvenskan,0.67,1.9,19.47
560,557,Lillestrom,Norwegian Tippeligaen,0.71,1.96,19.42
561,566,St Mirren,Scottish Premiership,0.67,1.92,18.91
562,562,Gillingham,English League One,0.58,1.79,18.67
563,558,Bradford City,English League Two,0.62,1.87,18.6
564,563,Maritzburg Utd,South African ABSA Premier League,0.4,1.48,18.46
565,560,Pisa,Italy Serie B,0.65,1.95,18.25
566,574,Scunthorpe,English League Two,0.7,2.06,18.01
567,571,St Johnstone,Scottish Premiership,0.62,1.91,17.95
568,572,Juve Stabia,Italy Serie B,0.62,1.92,17.91
569,561,Golden Arrows,South African ABSA Premier League,0.5,1.71,17.79
570,564,New Mexico United,United Soccer League,0.82,2.29,17.79
571,559,Hamilton Academical,Scottish Premiership,0.66,2.01,17.67
572,569,Matsumoto Yamaga FC,Japanese J League,0.39,1.53,17.45
573,576,Milton Keynes Dons,English League One,0.61,1.94,17.43
574,575,Shrewsbury Town,English League One,0.5,1.74,17.41
575,573,Charleston Battery,United Soccer League,0.59,1.94,16.89
576,582,Cheltenham Town,English League Two,0.6,1.97,16.86
577,567,Polokwane City FC,South African ABSA Premier League,0.53,1.86,16.64
578,577,Trapani,Italy Serie B,0.59,1.99,16.54
579,581,Chippa United,South African ABSA Premier League,0.36,1.54,16.36
580,578,Portland Timbers 2,United Soccer League,0.99,2.7,16.3
581,579,Loudoun United FC,United Soccer League,0.95,2.65,16.21
582,580,Ottawa Fury FC,United Soccer League,0.59,2.01,16.19
583,585,Central Coast Mariners,Australian A-League,0.7,2.27,15.69
584,583,Northampton Town,English League Two,0.62,2.12,15.66
585,584,Plymouth Argyle,English League Two,0.56,2.02,15.38
586,590,AFC Wimbledon,English League One,0.55,2.0,15.37
587,596,Exeter City,English League Two,0.5,1.94,15.12
588,586,AmaZulu,South African ABSA Premier League,0.36,1.69,14.7
589,591,Charlotte Independence,United Soccer League,0.6,2.19,14.44
590,599,Baroka FC,South African ABSA Premier League,0.33,1.64,14.39
591,592,Kalmar FF,Swedish Allsvenskan,0.47,1.95,14.35
592,589,Crewe Alexandra,English League Two,0.58,2.17,14.3
593,594,Vasby United,Swedish Allsvenskan,0.49,1.99,14.3
594,587,Tranmere Rovers,English League One,0.56,2.15,14.19
595,595,Saint Louis FC,United Soccer League,0.45,1.94,13.98
596,593,Black Leopards,South African ABSA Premier League,0.45,1.94,13.94
597,597,Oklahoma City Energy FC,United Soccer League,0.58,2.22,13.81
598,598,Rio Grande Valley FC Toros,United Soccer League,0.58,2.22,13.81
599,602,Colchester United,English League Two,0.46,1.99,13.75
600,601,Falkenbergs FF,Swedish Allsvenskan,0.57,2.24,13.42
601,588,Forest Green Rovers,English League Two,0.34,1.84,12.53
602,605,Rochdale,English League One,0.48,2.18,12.2
603,600,Mansfield Town,English League Two,0.47,2.18,12.06
604,603,Las Vegas Lights FC,United Soccer League,0.57,2.39,12.05
605,607,Hartford Athletic,United Soccer League,0.78,2.88,11.42
606,608,Stellenbosch FC,South African ABSA Premier League,0.33,2.01,10.74
607,604,Oldham Athletic,English League Two,0.41,2.22,10.6
608,609,Bolton,English League One,0.45,2.36,10.27
609,606,Salford City,English League Two,0.38,2.21,10.13
610,610,Swope Park Rangers,United Soccer League,0.68,2.87,9.98
611,611,Birmingham Legion FC,United Soccer League,0.39,2.26,9.95
612,613,Southend United,English League One,0.61,2.75,9.92
613,612,Bethlehem Steel FC,United Soccer League,0.71,2.98,9.62
614,614,Atlanta United 2,United Soccer League,0.62,2.88,9.09
615,615,Tacoma Defiance,United Soccer League,0.57,2.78,9.08
616,616,Newport County,English League Two,0.2,1.9,9.0
617,617,Memphis 901 FC,United Soccer League,0.32,2.23,8.92
618,618,Tulsa Roughnecks,United Soccer League,0.47,2.63,8.56
619,620,Cambridge United,English League Two,0.22,2.01,8.5
620,619,Leyton Orient,English League Two,0.37,2.44,8.22
621,621,Stevenage,English League Two,0.2,2.02,8.12
622,622,Port Vale,English League Two,0.2,2.15,7.28
623,625,Grimsby Town,English League Two,0.2,2.17,7.11
624,626,Macclesfield,English League Two,0.2,2.18,7.06
625,627,Walsall,English League Two,0.2,2.2,6.97
626,623,Crawley Town,English League Two,0.26,2.39,6.87
627,624,Carlisle United,English League Two,0.24,2.33,6.86
628,628,Colorado Springs Switchbacks FC,United Soccer League,0.2,2.45,5.6
629,629,Morecambe,English League Two,0.2,2.54,5.18
